"","subjID","ang_rate","hap_rate","sur_rate","neg_rate","pos_rate","amb_rate","ang_rate_b1","hap_rate_b1","sur_rate_b1","neg_rate_b1","pos_rate_b1","amb_rate_b1","ang_rate_b2","hap_rate_b2","sur_rate_b2","neg_rate_b2","pos_rate_b2","amb_rate_b2","ang_rate_b3","hap_rate_b3","sur_rate_b3","neg_rate_b3","pos_rate_b3","amb_rate_b3","ang_rate_b4","hap_rate_b4","sur_rate_b4","neg_rate_b4","pos_rate_b4","amb_rate_b4","ang_RT","hap_RT","sur_RT","sur_p_RT","sur_n_RT","neg_RT","pos_RT","amb_RT","amb_p_RT","amb_n_RT","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ERQCR","ERQES","stai.s_1-","stai.s_2-","stai.s_3","stai.s_4","stai.s_5-","stai.s_6","stai.s_7","stai.s_8-","stai.s_9","stai.s_10-","stai.s_11-","stai.s_12","stai.s_13","stai.s_14","stai.s_15-","stai.s_16-","stai.s_17","stai.s_18","stai.s_19-","stai.s_20-","STAI.S","stai.t_1-","stai.t_2","stai.t_3-","stai.t_4","stai.t_5","stai.t_6-","stai.t_7-","stai.t_8","stai.t_9","stai.t_10-","stai.t_11","stai.t_12","stai.t_13-","stai.t_14-","stai.t_15","stai.t_16-","stai.t_17","stai.t_18","stai.t_19-","stai.t_20","STAI.T","NE_only_1-","NE_only_2","NE_only_3","NE_only_4","NE_only_5","NE_only_6","NE_only_7","NE_only_8","NE_only_9-","NE_only_10","NE_only_11","NE_only_12-","NE_only_13","NE_only_14-","NE_only_15-","NE_only_16-","NE_only_17","NE_only_18-","NE_only_19-","NE_only_20","NE_only_21","NE_only_22","NE_only_23-","NE_only_24-","NE_only_25","NE_only_26","NE_only_27-","NE_only_28-","NE_only_29","NE_only_30-","NE_only_31-","NE_only_32","NE_only_33-","NE_only_34","NE_only_35","NE_only_36","NE_only_37","NE_only_38","NE_only_39-","NE_only_40","NE_only_41","NE_only_42-","NE_only_43","NE_only_44-","NE_only_45-","NE_only_46-","NE_only_47","NE_only_48-","NE_only_49","NE_only_50","NE_only_51","NE_only_52","NE_only_53","NE_only_54-","NE_only_55-","NE_only_56","NE_only_57-","NE_only_58","NE_only_59-","NE_only_60","NEO.N","NEO.E","NEO.O","NEO.A","NEO.C","bdi.1","bdi.2","bdi.3","bdi.4","bdi.5","bdi.6","bdi.7","bdi.8","bdi.9","bdi.10","bdi.11","bdi.12","bdi.13","bdi.14","bdi.15","bdi.16","bdi.17","bdi.18","bdi.19","bdi.20","bdi.21","BDI"
"18",71019,1,0,0.958333333333333,0.916666666666667,0,0.458333333333333,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.416666666666667,1,0,1,NA,NA,NA,NA,NA,NA,1,0,0.5,1424.16666666667,3529.16666666667,1448.66666666667,1725,1436.65217391304,1733,1547.66666666667,1953.41666666667,2095.69230769231,1785.27272727273,5,3,6,1,6,2,6,6,3,6,5.83333333333333,2.25,2,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,29,1,2,1,2,2,3,2,1,2,2,1,1,1,3,1,1,2,2,2,2,34,4,3,3,4,1,2,3,3,3,1,1,3,3,4,3,2,3,4,1,2,1,1,2,3,2,3,3,3,1,1,2,3,3,3,3,1,4,3,3,2,1,3,1,4,1,1,3,3,4,2,1,3,3,3,1,3,3,3,4,4,22,35,34,37,23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,6
"19",71020,1,0,0,1,0,0.458333333333333,NA,NA,NA,1,0,0.583333333333333,1,0,0,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,1,0,0,NA,NA,NA,1454.75,1311.83333333333,1439.83333333333,1439.83333333333,NA,1775.83333333333,1479.58333333333,2442.70833333333,2398.76923076923,2494.63636363636,6,3,7,1,5,5,7,6,2,7,6.33333333333333,2.75,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,29,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,29,3,3,3,4,4,3,4,4,4,4,4,0,3,1,1,0,4,3,1,4,1,4,1,3,3,0,3,3,0,1,1,4,1,4,4,1,4,4,0,4,1,4,0,2,3,4,4,3,3,4,0,4,3,3,4,0,1,3,3,4,18,39,31,28,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
"20",71021,1,0,0.75,1,0,0.375,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1311.5,1203,1511.41666666667,1774.66666666667,1423.66666666667,1288.41666666667,1279.91666666667,1583.79166666667,1672.06666666667,1436.66666666667,7,3,7,1,7,1,7,6,4,7,6.83333333333333,2.25,2,1,1,1,2,1,3,3,2,3,3,1,1,4,3,3,2,1,2,2,41,2,1,3,1,1,3,3,2,2,2,1,3,2,3,1,2,2,3,2,2,41,4,2,4,4,3,4,4,4,4,3,4,4,4,3,2,3,4,4,3,4,0,2,4,4,3,2,4,4,3,1,4,1,3,2,3,2,3,4,4,2,4,4,4,4,1,1,3,4,4,3,1,2,3,4,3,1,0,2,4,3,30,33,44,43,31,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,5
"21",71022,1,0,0.833333333333333,0.916666666666667,0,0.333333333333333,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.25,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.416666666666667,1737.41666666667,1889.66666666667,1947.54166666667,2210.25,1895,1670.54545454545,1677.91666666667,1894.04166666667,1889.3125,1903.5,7,3,7,1,7,1,7,7,5,7,7,2.5,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,23,1,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,3,2,1,2,32,3,4,1,4,3,3,4,4,3,4,0,3,4,4,3,3,4,4,4,1,0,3,3,3,3,0,4,3,4,4,1,3,4,0,0,3,4,3,4,4,1,4,3,4,4,3,4,3,4,4,0,4,4,4,4,0,1,3,4,4,17,42,39,42,38,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,6
"22",71023,1,0,0.875,0.916666666666667,0,0.333333333333333,NA,NA,NA,0.833333333333333,0,0.416666666666667,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.25,1,0,0.916666666666667,NA,NA,NA,1367.75,1184.08333333333,1407,1362,1413.42857142857,1469.54545454545,1293.5,1385.16666666667,1371.375,1412.75,6,4,6,1,5,2,6,4,3,5,5.33333333333333,2.5,2,2,1,1,1,1,2,3,1,2,2,2,1,1,3,3,2,1,2,2,35,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,33,4,4,2,3,3,3,4,3,4,3,1,4,4,4,3,3,4,3,1,3,1,2,0,4,3,2,3,3,3,3,1,3,3,3,3,1,3,2,4,4,1,4,3,3,3,2,3,3,4,2,1,3,3,2,3,1,2,3,3,4,21,39,32,38,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,5
"23",71024,1,0.0833333333333333,0.708333333333333,0.916666666666667,0,0.541666666666667,NA,NA,NA,0.833333333333333,0,0.583333333333333,1,0.166666666666667,0.75,NA,NA,NA,NA,NA,NA,1,0,0.5,1,0,0.666666666666667,NA,NA,NA,1427.5,1287.45454545455,1524.91666666667,1498.14285714286,1535.94117647059,1479.45454545455,1439.5,1681.875,1692.63636363636,1672.76923076923,5,6,4,3,5,2,6,5,6,6,5.16666666666667,4.25,1,3,1,1,2,1,1,3,1,2,3,1,1,4,1,2,1,1,4,2,36,2,3,3,2,2,3,3,3,3,2,2,4,3,4,2,2,3,4,3,3,56,4,1,2,4,3,3,4,3,3,3,4,2,2,3,1,3,1,4,4,3,1,2,3,4,3,3,1,2,3,1,4,1,3,4,4,2,1,4,3,3,3,2,3,1,3,3,3,3,4,3,3,2,4,4,3,1,3,2,3,4,34,23,35,40,34,0,0,1,1,0,0,1,2,0,0,0,1,3,0,1,0,0,0,0,0,0,10
"24",71025,1,0,0.791666666666667,0.916666666666667,0,0.541666666666667,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.5,1594,1328.08333333333,1725.08333333333,1958.6,1663.63157894737,1454.27272727273,1537.5,1902.625,1917,1890.46153846154,7,5,6,2,5,3,6,6,3,6,6,3.25,2,2,2,2,3,2,3,2,2,2,3,3,1,1,2,2,3,2,3,3,45,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,58,3,2,3,3,3,4,2,3,3,2,3,2,3,3,3,3,3,4,1,4,1,2,1,3,3,2,2,2,1,2,3,1,3,3,3,2,2,3,2,4,2,3,1,3,3,2,3,3,3,4,2,4,3,2,3,3,3,3,3,4,30,29,32,30,38,1,1,0,1,1,0,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,11
"25",71026,0.916666666666667,0.166666666666667,0.75,1,0,0.333333333333333,1,0.333333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,0.833333333333333,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.25,1668.72727272727,1453.6,2001.29166666667,2258.66666666667,1915.5,1994.5,1725.33333333333,2687.16666666667,2596.0625,2869.375,5,2,4,1,2,2,2,3,2,5,3.5,1.75,3,3,1,1,4,2.36842105263158,1,3,2,2,2,4,4,1,3,3,1,1,3,3,47.3684210526316,2,2,3,2,2,4,3,2,3,2,3,3,3,1,3,3,2,2,3,2,50,4,4,3,4,1,3,3,4,2,0,3,0,4,1,1,3,4,0,2,2,2,2,4,3,2,3,4,2,2,3,3,2,3,3,4,4,3,4,1,3,2,2,3,4,1,1,2,4,4,3,2,3,4,1,1,3,2,4,1,4,33,31,39,28,25,1,1,1,0,0,0,3,1,1,0,1,0,0,2,0,2,0,0,0,0,0,13
"26",71027,0.916666666666667,0,0.708333333333333,0.833333333333333,0,0.5,NA,NA,NA,0.833333333333333,0,0.333333333333333,0.833333333333333,0,0.666666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.666666666666667,1,0,0.75,NA,NA,NA,930.090909090909,881.416666666667,1082.29166666667,1105.71428571429,1072.64705882353,1137.8,1001.25,1227.20833333333,1268.91666666667,1185.5,2,5,2,2,5,5,5,3,6,5,3.66666666666667,4.5,1,2,2,1,1,1,1,2,1,2,3,2,2,2,1,2,1,1,2,2,32,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,2,1,39,2,3,3,3,1,3,3,3,2,1,1,3,2,3,1,1,3,3,1,2,3,2,1,2,3,1,1,3,1,0,3,1,3,3,3,3,1,3,3,3,1,3,1,4,1,1,3,4,4,3,1,1,3,4,1,1,3,3,1,1,21,27,32,31,20,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,9
"27",71028,1,0,0.5,0.916666666666667,0,0.333333333333333,NA,NA,NA,0.833333333333333,0,0.25,1,0,0.583333333333333,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0,0.416666666666667,NA,NA,NA,1628.83333333333,1404.33333333333,1737.54166666667,1813.25,1661.83333333333,1697.54545454545,1773.66666666667,2402.33333333333,2368.875,2469.25,6,4,2,3,5,3,5,5,3,4,4.5,3.25,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,34,2,1,2,1,1,3,3,1,1,2,1,2,2,3,1,2,1,1,3,1,34,3,4,3,3,3,2,3,3,3,3,3,3,2,2,2,1,3,3,3,3,2,3,2,2,2,1,3,2,3,1,2,2,2,1,3,1,3,2,3,3,2,3,1,2,2,1,2,2,3,3,2,2,2,2,3,1,2,2,3,4,21,33,26,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"28",71029,1,0,0.916666666666667,0.916666666666667,0,0.5,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,1,0,0.5,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.5,1365.41666666667,1444.91666666667,1570.95833333333,1573.5,1570.72727272727,1525.72727272727,1497.66666666667,1647.16666666667,1601.16666666667,1693.16666666667,5,5,5,2,6,5,6,6,5,6,5.66666666666667,4.25,2,3,2,1,3,1,2,4,1,3,3,2,2,4,2,2,2,1,2,3,45,2,3,3,1,2,3,3,2,3,2,2,2,3,3,2,2,2,2,3,3,48,3,3,1,4,3,3,3,3,4,3,4,3,4,3,1,3,4,4,3,4,3,3,3,4,1,3,3,4,3,1,3,1,4,3,3,0,2,3,1,3,1,3,3,4,1,3,3,4,4,2,0,3,4,3,3,1,3,4,4,4,27,34,41,40,29,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,12
"29",71030,0.75,0,0.291666666666667,0.833333333333333,0,0.25,1,0,0.5,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,0.5,0,0.0833333333333333,NA,NA,NA,NA,NA,NA,0.666666666666667,0,0.166666666666667,1601.55555555556,1479.66666666667,1668.125,1621.41176470588,1781.57142857143,1676.5,1546.41666666667,1683.91666666667,1522.55555555556,2168,6,6,6,6,6,6,6,6,6,6,6,6,3,3,2,2,3,2,2,3,2,3,3,2,2,2,3,3,2,2,3,3,50,3,2,3,2,2,3,3,2,3,3,3,2,2,3,2,2,2,3,3,3,51,1,1,4,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,2,3,3,2,3,3,3,2,1,3,3,1,3,2,1,3,3,2,2,3,3,3,1,2,2,2,3,1,3,4,3,3,1,3,4,1,3,3,3,4,3,4,24,26,37,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"30",71031,1,0,0.708333333333333,0.916666666666667,0,0.458333333333333,NA,NA,NA,0.833333333333333,0,0.5,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0,0.75,NA,NA,NA,1380.58333333333,1548.58333333333,1736.875,1720,1743.82352941176,1411.54545454545,1556.33333333333,2093.58333333333,2168,2005.63636363636,6,3,4,3,4,3,4,5,2,3,4.33333333333333,2.75,3,1,1,1,2,1,1,3,1,2,3,1,3,2,3,2,1,1,2,2,36,2,2,3,2,2,2,3,2,3,1,1,3,2,3,1,2,2,3,3,2,44,4,3,2,4,4,4,4,3,3,2,4,4,1,3,1,2,4,2,3,3,4,3,1,3,3,2,3,3,1,1,4,2,1,3,3,1,3,3,4,3,1,3,2,2,1,2,3,2,4,3,1,4,3,3,3,2,3,1,2,4,31,39,24,35,31,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,8
"31",71032,1,0.0833333333333333,0.75,1,0,0.541666666666667,NA,NA,NA,1,0,0.5,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1,0.166666666666667,0.833333333333333,NA,NA,NA,1400,1391.36363636364,1581.45833333333,1625.5,1566.77777777778,2054,1354.33333333333,2025.5,2217.81818181818,1862.76923076923,4,1,7,1,7,1,5,5,4,7,5.83333333333333,1.75,2,2,1,3,2,1,1,3,1,2,2,1,2,2,2,2,1,2,3,2,37,2,1,2,1,1,3,3,1,1,1,1,1,3,3,1,2,1,1,3,1,33,2,4,2,4,4,4,4,4,4,3,1,3,2.63636363636364,4,3,3,4,3,4,4,2,3,2,4,3,0,4,3,1,3,3,2,3,2,4,0,4,2,4,4,1,4,1,4,2,0,4,3,3,3,0,4,4,4,3,1,3,2,4,3,17,43,31.6363636363636,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"32",71033,1,0,0.875,1,0,0.375,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1929.91666666667,1800.41666666667,1735.41666666667,2240.33333333333,1663.28571428571,1892.41666666667,1691.16666666667,2325.79166666667,2447.46666666667,2123,4,5,6,2,6,4,4,5,5,6,5.16666666666667,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,25,2,2,2,1,1,3,1,1,1,2,3,1,2,2,2,2,2,2,2,2,36,2,4,3,4,1,4,4,4,4,3,1,4,3,3,2,4,4,4,3,3,0,4,2,3,1,0,4,3,2,1,1,0,3,3,3,0,2,3,3,3,2,3,2,4,0,3,3,4,3,2,0,3,4,3,3,1,3,4,3,2,18,38,39,38,24,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
"33",71034,1,0,0.916666666666667,0.916666666666667,0,0.333333333333333,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.25,1,0,1,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.416666666666667,1279.5,1304.66666666667,1409.25,2736.5,1288.59090909091,1417.18181818182,1220.5,1643.29166666667,1538.375,1853.125,7,4,5,1,5,1,4,4,1,4,4.83333333333333,1.75,1,2,1,1,4,1,1,2,1,2,2,1,1,3,2,2,1,1,2,2,33,2,2,2,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,2,1,29,3,2,0,3,4,3,4,2,4,3,0,2,0,4,4,1,3,2,1,3,1,2,1,3,2,1,3,3,3,1,1,2,2,2,3,0,4,2,4,3,0,3,0,2,3,4,2,3,3,3,0,2,1,1,4,0,2,1,2,3,14,31,17,32,36,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,5
"34",71035,1,0.0833333333333333,0.958333333333333,0.916666666666667,0.166666666666667,0.416666666666667,NA,NA,NA,0.833333333333333,0.166666666666667,0.5,1,0.166666666666667,1,NA,NA,NA,NA,NA,NA,1,0.166666666666667,0.333333333333333,1,0,0.916666666666667,NA,NA,NA,1500.75,1580,1457.41666666667,2332,1419.39130434783,1548.09090909091,1604.2,1718.04166666667,1806.14285714286,1594.7,5,3,5,2,3,2,4,5,2,4,4.33333333333333,2.25,1,1,2,2,2,1,1,2,1,2,1,1,3,2,1,2,1,2,2,1,31,2,2,2,1,1,3,2,1,3,1,3,2,2,3,1,2,4,2,2,2,41,1,1,4,3,3,4,3,3,2,2,1,1,3,0,1,1,2,3,1,3,2,2,3,2,3,3,1,4,1,1,3,3,3,2,3,3,3,3,1,1,2,1,3,1,3,1,2,4,3,3,1,2,3,3,3,1,3,4,2,3,23,24,40,21,29,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,11
"35",71036,0.916666666666667,0.333333333333333,0.458333333333333,1,0,0.666666666666667,NA,NA,NA,1,0,0.75,1,0,0.333333333333333,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,0.833333333333333,0.666666666666667,0.583333333333333,NA,NA,NA,2318.90909090909,2080.875,2263,2279.76923076923,2243.18181818182,2993.66666666667,2157.41666666667,3063.91666666667,2927.875,3131.9375,5,6,4,2,5,6,5,6,5,6,5.16666666666667,4.75,3,3,2,3,3,2,3,4,3,3,3,3,2,2,3,4,3,3,3,3,58,3,2,4,4,2,4,3,2,3,3,2,4,3,4,3,4,3,3,3,3,62,3,1,2,4,2,3,3,4,1,1,3,2,3,1,1,4,4,3,2,3,2,2,3,3,3,1,1,3,2,0,3,1,3,3,3,2,3,4,2,3,3,4,3,2,1,2,3,3,3,2,0,2,3,3,1,3,3,2,2,3,29,29,36,28,23,1,0,1,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,11
"36",71037,1,0,0.625,0.916666666666667,0,0.625,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.666666666666667,1,0,0.5,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.583333333333333,1646.58333333333,1853.33333333333,1900.125,1789.88888888889,1966.26666666667,1796,1810.91666666667,2097.375,1965.22222222222,2176.66666666667,6,5,6,3,5,5,6,6,6,6,5.83333333333333,4.75,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,32,2,2,2,2,1,4,2,1,2,2,1,1,2,2,1,2,2,2,2,2,37,3,2,1,4,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,2,1,3,3,1,2,2,2,2,3,1,3,3,3,1,3,2,3,3,1,3,1,3,3,1,4,3,3,4,1,4,4,3,3,1,2,1,3,4,22,32,26,36,37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,7
"37",71038,1,0,0.791666666666667,0.916666666666667,0,0.291666666666667,1,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.333333333333333,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.25,1658.66666666667,1842,1954.45833333333,2208,1887.73684210526,2282.90909090909,1974.25,2447.70833333333,2477.64705882353,2375,4,5,5,2,6,5,5,5,2,5,5,3.5,2,2,1,2,2,1,2,1,1,2,3,1,1,2,2,2,1,1,2,2,33,2,1,3,1,1,3,2,2,2,2,1,2,3,3,1,2,2,2,2,2,39,3,2,2,3,3,2,3,3,2,3,3,2,1,3,2,2,3,3,3,3,1,1,1,2,2,1,1,3,3,1,2,1,3,3,3,2,1,2,3,3,2,2,1,3,3,1,2,2,3,3,1,3,2,3,3,1,1,2,3,3,21,22,25,34,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,6
